year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
2007,0.0149,0.692,190453,0.911,0,7.34E-05,9,0.112,-5.098,0,61,0.177,138.975,0.801
2008,0.064413,0.554667,183893.3333,0.949333,0,4.60E-07,6.333333,0.242533,-4.286,0,54.666667,0.103233,133.668333,0.538333
2009,0.085344,0.572,213861.4,0.662,0,1.16E-04,6,0.13848,-5.6112,0.6,63.6,0.04066,124.4102,0.526
2010,0.14185,0.6065,215060,0.804,0,0.00E+00,5.5,0.157,-3.8775,0.5,61,0.09015,123.4825,0.5415
2013,0.167764,0.6308,249034.6,0.607,0.2,7.73E-05,4.2,0.21086,-5.7232,0.6,67.8,0.04694,117.1388,0.3376
2017,0.04276,0.593,231573.5,0.7015,0,1.32E-05,4.5,0.22565,-6.1,0.5,53,0.04445,109.9685,0.4135
2019,0.08732,0.6055,226367,0.7015,0.5,8.46E-04,3,0.1985,-5.402,0.5,73.5,0.04645,119.534,0.408
2020,0.025908,0.601,197244.4545,0.740818,0.090909,5.52E-04,3.545455,0.184345,-5.441091,0.454545,77,0.058391,120.360818,0.384273
2021,0.063719,0.474,185640,0.755,0,0.00E+00,7.5,0.07735,-3.8395,1,2.5,0.04035,140.503,0.5135
