year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
2013,0.161875,0.639125,223360,0.723625,0,0.00E+00,4,0.34275,-4.151625,0.75,61.25,0.049638,130.25275,0.57175
2014,0.35266,0.515,202869.4,0.4928,0,3.30E-07,8.6,0.1554,-5.9224,0.8,72,0.04984,123.344,0.3218
2015,0.37766,0.6458,162776,0.4356,0,3.98E-07,6,0.2736,-8.63,0.8,62.4,0.0928,98.943,0.5724
2016,0.108309,0.616667,225980.6667,0.598889,0.111111,9.27E-05,6.111111,0.1433,-6.167556,0.666667,66.333333,0.087378,107.945111,0.453778
2018,0.24621,0.6392,193012.1,0.5361,0.9,8.42E-06,5.4,0.16256,-6.1724,0.6,71.5,0.04515,122.1755,0.40909
2019,0.306256,0.724889,196997.1111,0.517667,0.777778,6.07E-03,4,0.126322,-6.507667,0.666667,75.888889,0.135522,113.302333,0.387444
2020,0.29085,0.661917,171629.3333,0.56425,0.666667,1.56E-06,2.916667,0.129,-6.04775,0.583333,80.083333,0.102725,122.585333,0.433333
