year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
2005,0.3984,0.465,235243.5,0.6625,0,0.00E+00,4.5,0.145025,-3.60525,0.75,58.5,0.0331,99.52025,0.26675
2007,0.307483,0.448333,245397.6667,0.711,0,0.00E+00,6.166667,0.137983,-3.639667,1,51.5,0.045817,133.188333,0.409833
2008,0.5515,0.412,235873.5,0.482,0,0.00E+00,5,0.09965,-6.8165,1,50,0.02705,129.793,0.1815
2009,0.32895,0.4575,230710,0.66825,0,2.50E-07,2.25,0.088375,-4.141,1,54.25,0.04455,109.24425,0.4185
2012,0.10295,0.55425,247523.25,0.8195,0,1.41E-06,5.5,0.092625,-3.10275,0.25,58,0.048775,121.723,0.51275
2014,0.0243,0.451,238173,0.893,0,0.00E+00,7,0.0813,-2.721,1,56,0.0627,139.763,0.0971
2015,0.297167,0.523667,202448.6667,0.828,0,3.73E-06,4.666667,0.085033,-3.459667,0.333333,59.666667,0.075767,142.395,0.492333
2018,0.00122,0.614,202853,0.884,0,0.00E+00,0,0.077,-4.019,1,62,0.0402,100.531,0.721
