year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
2010,0.191488,0.5378,215759.8,0.6412,1,0.004675,6.2,0.308,-6.4948,1,61,0.2301,143.9174,0.4178
2011,0.068067,0.784667,204386.6667,0.801333,1,0.043668,9,0.1597,-4.028,0.666667,61.333333,0.136967,116.692,0.687
2012,0.079267,0.707667,199942.3333,0.803333,1,0.003318,9.333333,0.159033,-3.179,0.666667,63.666667,0.055867,125.65,0.682333
2014,0.24151,0.58525,253726.75,0.52775,1,0.000768,4,0.116175,-7.82,0.75,61.5,0.1195,138.9555,0.4105
2018,0.2259,0.817667,221055.6667,0.732,1,0.000016,6.666667,0.296,-5.098,0.333333,67.666667,0.326,106.458333,0.542333
2019,0.128,0.893,190747,0.641,1,0.000081,1,0.086,-3.051,1,69,0.272,94.017,0.771
2020,0.0409,0.911,156882,0.637,1,0.000037,8,0.238,-8.381,1,73,0.447,149.996,0.66
